node_i,node_j,is_inter_cluster
0,3,False
0,8,False
0,22,False
0,23,False
1,8,False
1,11,False
1,16,False
1,24,False
2,4,False
2,18,False
2,19,False
3,8,False
3,16,False
3,18,False
3,24,False
4,6,False
4,20,False
4,21,False
4,30,True
4,34,True
5,7,False
5,10,False
5,12,False
5,13,False
5,14,False
5,15,False
5,19,False
6,20,False
6,21,False
7,10,False
7,12,False
7,13,False
7,14,False
7,15,False
7,19,False
8,11,False
8,16,False
8,24,False
9,10,False
9,13,False
9,14,False
9,15,False
9,17,False
9,37,True
10,12,False
10,13,False
10,14,False
10,15,False
10,17,False
11,16,False
11,24,False
12,13,False
12,14,False
12,15,False
12,19,False
13,14,False
13,15,False
13,17,False
13,19,False
14,15,False
14,17,False
15,17,False
15,19,False
16,24,False
17,37,True
17,43,True
18,19,False
18,24,False
19,24,False
20,21,False
20,22,False
20,23,False
21,34,True
22,23,False
25,26,False
25,27,False
25,35,False
25,36,False
25,39,False
25,47,False
26,36,False
26,39,False
26,40,False
26,46,False
26,47,False
27,35,False
27,36,False
27,38,False
27,42,False
28,32,False
28,33,False
28,41,False
28,45,False
28,49,False
29,41,False
29,43,False
29,49,False
30,34,False
30,37,False
30,42,False
30,44,False
30,48,False
31,35,False
31,38,False
31,39,False
31,47,False
31,48,False
32,33,False
32,45,False
33,41,False
33,45,False
33,49,False
34,37,False
34,42,False
34,44,False
34,48,False
35,36,False
35,38,False
35,42,False
36,39,False
36,46,False
36,47,False
37,44,False
37,48,False
38,42,False
38,44,False
38,48,False
39,40,False
39,46,False
39,47,False
40,46,False
40,47,False
41,49,False
42,44,False
42,48,False
43,44,False
43,48,False
43,49,False
44,48,False
46,47,False
