node_i,node_j,is_inter_cluster
0,3,False
0,6,False
0,9,False
0,10,False
0,13,False
0,14,False
0,17,False
0,19,False
0,21,False
0,22,False
1,4,False
1,7,False
1,8,False
1,9,False
1,11,False
1,12,False
1,15,False
1,18,False
1,24,False
2,5,False
2,8,False
2,20,False
2,26,True
2,41,True
3,6,False
3,9,False
3,10,False
3,13,False
3,14,False
3,17,False
3,21,False
3,22,False
4,11,False
4,12,False
4,15,False
4,18,False
4,24,False
5,8,False
5,20,False
5,26,True
6,7,False
6,9,False
6,10,False
6,13,False
6,16,False
6,19,False
6,20,False
6,21,False
6,22,False
7,8,False
7,9,False
7,12,False
7,15,False
7,24,False
8,24,False
9,11,False
9,13,False
9,14,False
9,15,False
9,18,False
9,22,False
10,13,False
10,17,False
10,19,False
10,21,False
10,22,False
11,12,False
11,15,False
11,18,False
11,23,False
12,15,False
12,18,False
12,24,False
13,14,False
13,17,False
13,19,False
13,21,False
13,22,False
14,17,False
14,18,False
14,23,False
15,18,False
15,23,False
15,24,False
16,19,False
16,20,False
16,21,False
17,22,False
18,23,False
19,20,False
19,21,False
19,22,False
21,22,False
25,28,False
25,30,False
25,32,False
25,38,False
25,46,False
26,33,False
26,39,False
26,40,False
26,41,False
26,47,False
27,29,False
27,34,False
27,35,False
27,37,False
27,40,False
27,45,False
27,48,False
28,30,False
28,31,False
28,38,False
28,42,False
28,46,False
28,49,False
29,34,False
29,35,False
29,37,False
29,39,False
29,40,False
29,42,False
29,44,False
29,45,False
29,47,False
29,48,False
30,31,False
30,32,False
30,38,False
30,46,False
30,49,False
31,38,False
31,43,False
31,49,False
32,38,False
32,39,False
32,42,False
32,44,False
32,46,False
33,39,False
33,41,False
33,44,False
33,47,False
34,35,False
34,37,False
34,39,False
34,40,False
34,42,False
34,45,False
34,47,False
34,48,False
35,36,False
35,37,False
35,42,False
35,43,False
35,45,False
35,48,False
36,37,False
36,43,False
36,45,False
37,40,False
37,42,False
37,43,False
37,45,False
37,48,False
38,42,False
38,46,False
38,49,False
39,41,False
39,42,False
39,44,False
39,47,False
40,47,False
40,48,False
41,47,False
42,43,False
42,44,False
42,45,False
42,49,False
43,45,False
44,47,False
45,48,False
46,49,False
