node_i,node_j,is_inter_cluster
0,4,False
0,5,False
0,20,False
0,26,False
1,3,False
1,11,False
1,14,False
1,27,False
1,37,False
2,7,False
2,17,False
2,23,False
2,33,False
2,35,False
2,38,False
3,11,False
3,14,False
3,27,False
4,5,False
4,8,False
4,17,False
4,21,False
4,30,False
4,33,False
4,37,False
5,8,False
5,17,False
5,20,False
5,21,False
5,26,False
5,33,False
6,15,False
6,24,False
6,31,False
6,34,False
7,23,False
7,35,False
7,38,False
8,15,False
8,17,False
8,21,False
8,23,False
8,33,False
8,34,False
8,35,False
9,12,False
9,19,False
9,24,False
9,31,False
9,32,False
9,66,True
10,14,False
10,21,False
10,22,False
10,28,False
10,30,False
10,36,False
10,37,False
10,39,False
11,14,False
11,27,False
12,13,False
12,16,False
12,18,False
12,19,False
12,22,False
12,24,False
12,31,False
12,32,False
12,36,False
12,39,False
13,16,False
13,18,False
13,19,False
13,22,False
13,25,False
13,28,False
13,29,False
13,32,False
13,36,False
13,39,False
13,51,True
14,27,False
14,28,False
14,29,False
15,21,False
15,23,False
15,33,False
15,34,False
15,35,False
16,18,False
16,19,False
16,22,False
16,25,False
16,28,False
16,29,False
16,32,False
16,36,False
16,39,False
16,51,True
17,20,False
17,23,False
17,26,False
17,33,False
17,35,False
17,38,False
18,19,False
18,22,False
18,25,False
18,28,False
18,29,False
18,32,False
18,36,False
18,39,False
18,51,True
19,22,False
19,25,False
19,31,False
19,32,False
19,36,False
19,39,False
20,26,False
21,30,False
21,33,False
21,34,False
21,37,False
22,25,False
22,28,False
22,29,False
22,32,False
22,36,False
22,39,False
23,33,False
23,34,False
23,35,False
23,38,False
24,31,False
25,28,False
25,29,False
25,32,False
25,36,False
25,39,False
25,51,True
26,33,False
27,30,False
27,37,False
28,29,False
28,32,False
28,36,False
28,39,False
29,36,False
29,39,False
30,37,False
31,34,False
32,36,False
32,39,False
33,34,False
33,35,False
33,38,False
34,35,False
35,38,False
36,39,False
40,48,False
40,67,False
40,69,False
40,72,False
41,42,False
41,52,False
41,56,False
41,58,False
41,61,False
41,68,False
41,71,False
41,73,False
41,75,False
41,78,False
42,52,False
42,56,False
42,58,False
42,61,False
42,71,False
43,45,False
43,50,False
43,57,False
43,59,False
43,62,False
43,69,False
43,70,False
43,74,False
43,78,False
43,79,False
44,45,False
44,47,False
44,48,False
44,54,False
44,55,False
44,63,False
44,74,False
44,77,False
45,48,False
45,49,False
45,54,False
45,57,False
45,62,False
45,69,False
45,70,False
45,74,False
45,79,False
46,60,False
46,68,False
46,73,False
47,54,False
47,55,False
47,63,False
47,76,False
47,77,False
48,63,False
48,74,False
49,53,False
49,54,False
49,62,False
49,65,False
49,66,False
49,76,False
50,57,False
50,59,False
50,60,False
50,67,False
50,69,False
50,70,False
50,72,False
50,74,False
50,79,False
51,64,False
52,56,False
52,58,False
52,61,False
52,68,False
52,71,False
52,73,False
52,75,False
52,78,False
53,64,False
53,65,False
53,66,False
54,55,False
54,62,False
54,63,False
54,74,False
54,76,False
54,77,False
55,63,False
55,77,False
56,58,False
56,61,False
56,64,False
56,71,False
57,59,False
57,62,False
57,68,False
57,69,False
57,70,False
57,73,False
57,74,False
57,78,False
57,79,False
58,61,False
58,64,False
58,71,False
58,78,False
59,60,False
59,62,False
59,67,False
59,68,False
59,69,False
59,70,False
59,72,False
59,73,False
59,78,False
59,79,False
60,67,False
60,68,False
60,72,False
61,68,False
61,71,False
61,73,False
61,75,False
61,78,False
62,69,False
62,70,False
62,74,False
62,79,False
63,77,False
64,65,False
65,66,False
66,76,False
67,69,False
67,72,False
68,73,False
68,75,False
68,78,False
69,70,False
69,72,False
69,74,False
69,79,False
70,74,False
70,79,False
73,75,False
73,78,False
73,79,False
74,79,False
76,77,False
78,79,False
