node_i,node_j,is_inter_cluster
0,1,False
0,10,False
0,19,False
0,23,False
0,24,False
1,2,False
1,8,False
1,12,False
1,13,False
1,18,False
1,19,False
1,20,False
1,22,False
1,24,False
2,3,False
2,4,False
2,8,False
2,12,False
2,13,False
2,14,False
2,16,False
2,18,False
2,20,False
2,21,False
2,22,False
3,9,False
3,12,False
3,13,False
3,14,False
3,16,False
3,17,False
3,18,False
4,5,False
4,6,False
4,9,False
4,12,False
4,13,False
4,16,False
4,19,False
4,25,True
4,44,True
5,6,False
5,11,False
5,19,False
5,25,True
5,46,True
6,11,False
6,12,False
6,19,False
6,25,True
6,44,True
6,46,True
7,15,False
7,20,False
7,21,False
7,22,False
8,13,False
8,14,False
8,18,False
8,20,False
8,21,False
8,22,False
9,12,False
9,13,False
9,16,False
9,17,False
9,44,True
9,48,True
10,23,False
10,24,False
11,19,False
11,25,True
11,26,True
11,38,True
11,46,True
12,13,False
12,16,False
12,18,False
13,14,False
13,16,False
13,18,False
14,16,False
14,17,False
14,18,False
14,20,False
14,21,False
15,22,False
15,24,False
16,17,False
18,20,False
18,21,False
18,22,False
19,23,False
20,21,False
20,22,False
21,22,False
22,24,False
25,26,False
25,28,False
25,44,False
25,46,False
26,31,False
26,38,False
26,42,False
26,43,False
26,46,False
27,28,False
27,30,False
27,34,False
27,37,False
27,40,False
27,41,False
27,47,False
27,48,False
27,49,False
28,30,False
28,37,False
28,40,False
28,42,False
28,44,False
28,48,False
29,31,False
29,42,False
29,43,False
30,40,False
30,41,False
30,42,False
30,47,False
30,49,False
31,38,False
31,42,False
31,43,False
32,33,False
32,34,False
32,35,False
32,41,False
33,35,False
33,39,False
33,45,False
34,36,False
34,37,False
34,40,False
34,41,False
34,48,False
35,39,False
35,45,False
35,47,False
36,37,False
36,40,False
36,48,False
37,40,False
37,41,False
37,44,False
37,48,False
38,43,False
38,46,False
39,45,False
40,41,False
40,44,False
40,48,False
41,49,False
42,43,False
42,47,False
42,49,False
44,48,False
47,49,False
