node_i,node_j,is_inter_cluster
0,1,False
0,3,False
0,12,False
0,14,False
0,24,False
0,25,False
0,28,False
0,31,False
0,34,False
0,35,False
0,39,False
0,40,False
0,45,False
0,46,False
1,4,False
1,9,False
1,12,False
1,13,False
1,20,False
1,30,False
1,34,False
1,35,False
1,37,False
1,39,False
1,40,False
1,41,False
1,43,False
1,44,False
1,45,False
1,46,False
2,6,False
2,17,False
2,21,False
2,23,False
2,24,False
2,28,False
2,31,False
2,38,False
2,47,False
2,48,False
3,12,False
3,14,False
3,17,False
3,18,False
3,19,False
3,23,False
3,24,False
3,25,False
3,28,False
3,31,False
3,33,False
3,38,False
3,45,False
3,46,False
3,48,False
4,8,False
4,9,False
4,13,False
4,20,False
4,30,False
4,34,False
4,35,False
4,37,False
4,40,False
4,43,False
5,7,False
5,16,False
5,26,False
5,27,False
5,28,False
5,29,False
5,31,False
5,32,False
5,36,False
5,39,False
5,45,False
5,47,False
6,11,False
6,21,False
6,47,False
6,48,False
7,12,False
7,26,False
7,27,False
7,28,False
7,29,False
7,31,False
7,32,False
7,36,False
7,39,False
7,41,False
7,44,False
7,45,False
8,9,False
8,15,False
8,20,False
8,35,False
9,13,False
9,20,False
9,30,False
9,34,False
9,35,False
9,37,False
9,40,False
9,43,False
10,27,False
10,41,False
10,42,False
10,44,False
11,16,False
11,26,False
11,32,False
11,47,False
12,13,False
12,20,False
12,25,False
12,28,False
12,30,False
12,31,False
12,34,False
12,35,False
12,36,False
12,39,False
12,40,False
12,45,False
12,46,False
13,20,False
13,30,False
13,34,False
13,35,False
13,37,False
13,39,False
13,40,False
13,41,False
13,43,False
13,46,False
14,17,False
14,18,False
14,19,False
14,23,False
14,24,False
14,25,False
14,33,False
14,38,False
15,22,False
15,49,False
16,26,False
16,29,False
16,32,False
16,47,False
17,18,False
17,23,False
17,24,False
17,25,False
17,33,False
17,38,False
17,48,False
17,56,True
17,74,True
18,19,False
18,22,False
18,23,False
18,24,False
18,25,False
18,33,False
18,38,False
18,46,False
18,49,False
19,22,False
19,25,False
19,33,False
19,49,False
20,30,False
20,34,False
20,35,False
20,37,False
20,40,False
20,43,False
20,46,False
21,47,False
21,48,False
22,25,False
22,33,False
22,46,False
22,49,False
23,24,False
23,25,False
23,28,False
23,31,False
23,33,False
23,38,False
23,48,False
23,74,True
24,25,False
24,28,False
24,31,False
24,33,False
24,38,False
24,45,False
24,48,False
25,28,False
25,31,False
25,33,False
25,46,False
26,27,False
26,28,False
26,29,False
26,31,False
26,32,False
26,36,False
26,45,False
26,47,False
27,34,False
27,36,False
27,39,False
27,41,False
27,42,False
27,44,False
27,45,False
28,31,False
28,36,False
28,39,False
28,45,False
28,48,False
29,32,False
30,34,False
30,35,False
30,37,False
30,39,False
30,40,False
30,41,False
30,43,False
30,44,False
31,36,False
31,45,False
31,48,False
32,36,False
33,38,False
33,46,False
33,49,False
34,35,False
34,37,False
34,39,False
34,40,False
34,41,False
34,43,False
34,44,False
35,37,False
35,40,False
35,43,False
35,46,False
36,39,False
36,41,False
36,44,False
36,45,False
37,40,False
37,43,False
38,48,False
38,56,True
38,74,True
38,78,True
39,40,False
39,41,False
39,44,False
39,45,False
40,43,False
40,46,False
41,42,False
41,44,False
42,44,False
50,51,False
50,52,False
50,54,False
50,55,False
50,62,False
50,69,False
50,70,False
50,71,False
50,78,False
50,79,False
50,80,False
50,82,False
50,83,False
50,91,False
50,92,False
50,98,False
51,52,False
51,55,False
51,62,False
51,65,False
51,67,False
51,69,False
51,70,False
51,72,False
51,77,False
51,79,False
51,80,False
51,82,False
51,83,False
51,84,False
51,86,False
51,89,False
51,92,False
51,98,False
52,54,False
52,55,False
52,62,False
52,67,False
52,69,False
52,70,False
52,71,False
52,72,False
52,77,False
52,78,False
52,79,False
52,80,False
52,82,False
52,83,False
52,91,False
52,92,False
52,98,False
53,60,False
53,63,False
53,64,False
53,68,False
53,76,False
53,81,False
53,87,False
53,88,False
53,89,False
53,99,False
54,56,False
54,71,False
54,74,False
54,78,False
54,91,False
54,98,False
55,58,False
55,59,False
55,62,False
55,65,False
55,67,False
55,69,False
55,72,False
55,77,False
55,79,False
55,80,False
55,82,False
55,83,False
55,84,False
55,86,False
55,91,False
55,92,False
55,98,False
56,59,False
56,74,False
56,78,False
56,93,False
56,94,False
57,64,False
57,68,False
57,76,False
57,87,False
57,88,False
57,99,False
